Name,Year,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,PlatformGenre
Dewy's Adventure,2007,Konami Digital Entertainment,0.14,0.0,0.01,0.01,Wii::Platform
Dexter's Lab Chess Challenge,2002,BAM! Entertainment,0.14,0.05,"",0.0,GBA::Misc
Di-Gata Defenders,2008,Game Factory,0.06,0.0,"",0.0,DS::Role-Playing
DiRT,2007,Codemasters,"",0.02,"",0.0,PC::Racing
DiRT,2007,Codemasters,0.38,0.4,"",0.09,X360::Racing
DiRT 2,2009,Codemasters,0.06,0.04,"",0.01,DS::Racing
DiRT 2,2009,Codemasters,"",0.04,"",0.01,PC::Racing
DiRT 2,2009,Codemasters,0.11,0.23,"",0.04,Wii::Racing
DiRT 2,2009,Codemasters,0.32,0.4,"",0.09,X360::Racing
DiRT 3,2011,Codemasters,0.27,0.59,0.01,0.21,PS3::Racing
DiRT 3,2011,Codemasters,0.27,0.59,0.01,0.21,PS3::Racing
DiRT 3,2011,Codemasters,0.23,0.41,0.01,0.08,X360::Racing
DiRT Rally,2016,Codemasters,"",0.03,"",0.0,PC::Racing
DiRT Rally,2016,Codemasters,0.03,0.24,"",0.05,PS4::Racing
DiRT Rally,2016,Codemasters,0.03,0.08,"",0.01,XOne::Racing
DiRT Showdown,2012,Codemasters,0.02,0.13,"",0.04,PS3::Racing
DiRT Showdown,2012,Codemasters,0.08,0.14,"",0.02,X360::Racing
Diablo,1996,Activision,0.01,1.58,"",0.0,PC::Role-Playing
Diablo,1997,Electronic Arts,0.29,0.19,0.07,0.04,PS::Role-Playing
Diablo II,2000,Havas Interactive,0.01,0.09,"",0.02,PC::Role-Playing
Diablo III,2012,Activision,2.43,2.15,"",0.62,PC::Role-Playing
Diablo III,2013,Activision,0.71,0.83,0.15,0.35,PS3::Role-Playing
Diablo III,2014,Activision,0.35,0.24,"",0.05,XOne::Role-Playing
Diabolik Lovers: Dark Fate,2015,Idea Factory,"",0.0,0.03,0.0,PSV::Action
Diabolik Lovers: Lunatic Parade,2016,Idea Factory,"",0.0,0.03,0.0,PSV::Adventure
Diabolik Lovers: Lunatic Parade,2016,Idea Factory,"",0.0,0.03,0.0,PSV::Adventure
Diabolik Lovers: Lunatic Parade,2016,Idea Factory,"",0.0,0.03,0.0,PSV::Adventure
Diabolik Lovers: More Blood,2013,Idea Factory,"",0.0,0.03,0.0,PSP::Adventure
Diabolik Lovers: More Blood,2013,Idea Factory,"",0.0,0.03,0.0,PSP::Adventure
Diabolik Lovers: More Blood,2013,Idea Factory,"",0.0,0.03,0.0,PSP::Adventure
Diabolik Lovers: More Blood,2015,Idea Factory,"",0.0,0.02,0.0,PSV::Adventure
Diabolik Lovers: Vandead Carnival,2014,Idea Factory,"",0.0,0.02,0.0,PSV::Action
Diary Girl,2008,Konami Digital Entertainment,0.01,0.0,"",0.0,DS::Misc
Diary Girl,2008,Konami Digital Entertainment,0.01,0.0,"",0.0,DS::Misc
Diddy Kong Racing,1997,Nintendo,2.91,0.99,0.89,0.1,N64::Racing
Diddy Kong Racing DS,2007,Nintendo,1.1,0.04,"",0.1,DS::Racing
Die Hard Trilogy,1996,Fox Interactive,0.85,0.58,"",0.1,PS::Shooter
Die Hard Trilogy 2: Viva Las Vegas,1999,Fox Interactive,0.27,0.18,"",0.03,PS::Action
Die Hard: Vendetta,2002,NDA Productions,0.09,0.02,"",0.0,GC::Shooter
Diego's Build & Rescue,2010,Take-Two Interactive,0.07,0.0,"",0.01,DS::Action
Dies Irae: Amantes Amentes,2012,Views,"",0.0,0.02,0.0,PSP::Action
Dig Dug,1982,Atari,1.52,0.1,"",0.02,2600::Puzzle
Dig Dug,1985,Namco Bandai Games,"",0.0,0.41,0.0,NES::Puzzle
Digger Simulator,2011,Excalibur Publishing,"",0.01,"",0.0,PC::Simulation
Digger Simulator,2011,Excalibur Publishing,"",0.01,"",0.0,PC::Simulation
Digging for Dinosaurs,2010,Scholastic Inc.,0.35,0.0,"",0.02,DS::Action
Digging for Dinosaurs,2010,Scholastic Inc.,0.35,0.0,"",0.02,DS::Action
Digimon All-Star Rumble,2014,Namco Bandai Games,0.06,0.03,"",0.02,PS3::Fighting
Digimon All-Star Rumble,2014,Namco Bandai Games,0.04,0.01,"",0.01,X360::Fighting
Digimon Battle Spirit 2,2003,Namco Bandai Games,0.11,0.04,"",0.0,GBA::Fighting
Digimon Digital Card Battle,1999,Namco Bandai Games,0.06,0.04,"",0.01,PS::Strategy
Digimon Rumble Arena,2001,Namco Bandai Games,0.01,0.01,"",0.0,PS::Fighting
Digimon Rumble Arena 2,2004,Atari,0.03,0.01,"",0.0,GC::Fighting
Digimon Rumble Arena 2,2004,Atari,0.05,0.04,"",0.01,PS2::Fighting
Digimon Rumble Arena 2,2004,Atari,0.01,0.0,"",0.0,XB::Fighting
Digimon Story: Cyber Sleuth,2016,Namco Bandai Games,"",0.09,"",0.02,PS4::Role-Playing
Digimon Story: Cyber Sleuth,2016,Namco Bandai Games,"",0.09,"",0.02,PS4::Role-Playing
Digimon Story: Super Xros Wars Blue/Red,2011,Namco Bandai Games,"",0.0,0.1,0.0,DS::Role-Playing
Digimon World,1999,Namco Bandai Games,0.56,0.38,0.28,0.08,PS::Role-Playing
Digimon World 2,2000,Namco Bandai Games,0.23,0.16,0.16,0.04,PS::Role-Playing
Digimon World 4,2005,Atari,0.08,0.06,"",0.02,PS2::Role-Playing
Digimon World 4,2005,Atari,0.02,0.01,"",0.0,XB::Role-Playing
Digimon World Championship,2008,Namco Bandai Games,"",0.0,0.07,0.0,DS::Role-Playing
Digimon World DS,2006,Namco Bandai Games,0.1,0.0,"",0.01,DS::Role-Playing
Digimon World Re:Digitize,2012,Namco Bandai Games,"",0.0,0.22,0.0,PSP::Action
Digimon World Re:Digitize Decode,2013,Namco Bandai Games,"",0.0,0.09,0.0,3DS::Role-Playing
Digimon World: Dawn / Dusk,2007,Namco Bandai Games,0.14,0.0,0.18,0.01,DS::Role-Playing
Digimon World: Next Order,2016,Namco Bandai Games,"",0.0,0.09,0.0,PSV::Action
Diner Dash: Flo on the Go,2009,Zoo Games,0.13,0.0,"",0.01,DS::Puzzle
Diner Dash: Sizzle & Serve,2007,Eidos Interactive,0.34,0.03,"",0.03,DS::Puzzle
Diner Dash: Sizzle & Serve,2007,Eidos Interactive,0.11,0.0,"",0.01,PSP::Puzzle
Diner Dash: Sizzle & Serve,2007,Eidos Interactive,0.11,0.0,"",0.01,PSP::Puzzle
Diner Dash: Sizzle & Serve,2007,Eidos Interactive,0.11,0.0,"",0.01,PSP::Puzzle
Dino Crisis 3,2003,Capcom,0.08,0.03,0.03,0.0,XB::Action
Dino Dini's Kick Off Revival,2016,Avanquest,"",0.02,"",0.0,PS4::Sports
Dino Master: Dig Discover Duel,2005,Majesco Entertainment,0.06,0.0,"",0.0,DS::Strategy
Dino Pets,2009,Avanquest,0.05,0.0,"",0.0,DS::Simulation
Dino Stalker,2002,Capcom,0.07,0.06,0.08,0.02,PS2::Shooter
Dinotopia: The Sunstone Odyssey,N/A,Unknown,0.01,0.0,"",0.0,GC::Action
Dinotopia: The Sunstone Odyssey,N/A,Unknown,0.01,0.0,"",0.0,GC::Action
Dinotopia: The Sunstone Odyssey,2003,TDK Mediactive,0.01,0.0,"",0.0,XB::Action
Dinotopia: The Timestone Pirates,2002,TDK Core,0.14,0.05,"",0.0,GBA::Action
Disaster Report,2002,Agetec,0.03,0.02,0.15,0.01,PS2::Action
Disaster: Day of Crisis,2008,Nintendo,"",0.03,0.04,0.0,Wii::Action
Disciples III: Renaissance,2010,Kalypso Media,"",0.01,"",0.0,PC::Strategy
Discovery Kids: Dolphin Discovery,2008,505 Games,0.21,0.0,"",0.01,DS::Simulation
Discovery Kids: Parrot Pals,2009,505 Games,0.07,0.0,"",0.0,DS::Simulation
Discworld II: Mortality Bytes!,1996,Psygnosis,0.01,0.01,"",0.0,PS::Adventure
Disgaea 2: Cursed Memories,2006,Tecmo Koei,0.09,0.07,0.15,0.02,PS2::Role-Playing
Disgaea 4: A Promise Unforgotten,2011,Nippon Ichi Software,0.27,0.11,0.14,0.06,PS3::Role-Playing
Disgaea Infinite,2010,Nippon Ichi Software,0.07,0.0,0.01,0.01,PSP::Adventure
Disgaea: Afternoon of Darkness,2006,Tecmo Koei,0.15,0.01,0.04,0.02,PSP::Role-Playing
Disgaea: Hour of Darkness,2003,Tecmo Koei,0.16,0.13,"",0.04,PS2::Role-Playing
Dishonored,2012,Bethesda Softworks,0.26,0.19,"",0.06,PC::Action
Dishonored,2012,Bethesda Softworks,0.72,0.54,0.04,0.25,PS3::Action
Dishonored,2012,Bethesda Softworks,1.06,0.52,0.01,0.14,X360::Action
Dishonored,2015,Bethesda Softworks,0.08,0.05,"",0.01,XOne::Action
Disney Channel Collection Vol. 1,2004,N/A,0.08,0.03,"",0.0,GBA::Misc
Disney Fairies: Tinker Bell,2008,Disney Interactive Studios,0.86,0.52,0.01,0.15,DS::Adventure
Disney Fairies: Tinker Bell and the Great Fairy Rescue,2010,Disney Interactive Studios,0.18,0.14,"",0.03,DS::Adventure
Disney Fairies: Tinker Bell and the Lost Treasure,2009,Disney Interactive Studios,0.57,0.35,0.02,0.1,DS::Adventure
Disney Golf,2002,Electronic Arts,0.07,0.06,0.02,0.02,PS2::Sports
Disney Guilty Party,2010,Disney Interactive Studios,0.43,0.0,"",0.03,Wii::Misc
Disney Infinity,2013,Disney Interactive Studios,0.16,0.1,"",0.02,3DS::Action
Disney Infinity,2013,Disney Interactive Studios,0.48,0.35,"",0.16,PS3::Action
Disney Infinity,2013,Disney Interactive Studios,0.05,0.0,"",0.02,PSV::Action
Disney Infinity,2013,Disney Interactive Studios,1.15,0.44,"",0.14,Wii::Action
Disney Infinity,2013,Disney Interactive Studios,0.33,0.22,"",0.05,WiiU::Action
Disney Infinity,2013,Disney Interactive Studios,0.33,0.22,"",0.05,WiiU::Action
Disney Infinity,2013,Disney Interactive Studios,0.96,0.37,"",0.11,X360::Action
Disney Infinity 2.0: Marvel Super Heroes,2014,Disney Interactive Studios,0.26,0.24,"",0.1,PS4::Action
Disney Infinity 2.0: Marvel Super Heroes,2014,Disney Interactive Studios,0.26,0.24,"",0.1,PS4::Action
Disney Infinity 2.0: Marvel Super Heroes,2014,Disney Interactive Studios,0.38,0.22,"",0.06,WiiU::Action
Disney Infinity 3.0,2015,Disney Interactive Studios,0.14,0.25,"",0.08,PS3::Action
Disney Infinity 3.0,2015,Disney Interactive Studios,0.2,0.21,"",0.04,WiiU::Action
Disney Infinity 3.0,2015,Disney Interactive Studios,0.2,0.21,"",0.04,WiiU::Action
Disney Infinity 3.0,2015,Disney Interactive Studios,0.19,0.21,"",0.04,X360::Action
Disney Magic World 2,2015,Nintendo,"",0.0,0.19,0.0,3DS::Action
Disney Magical World,2013,Nintendo,0.16,0.2,0.53,0.03,3DS::Adventure
Disney Planes Fire & Rescue,2014,Disney Interactive Studios,0.01,0.08,"",0.01,3DS::Action
Disney Planes Fire & Rescue,2014,Disney Interactive Studios,"",0.05,"",0.0,Wii::Action
Disney Planes Fire & Rescue,2014,Disney Interactive Studios,0.01,0.01,"",0.0,WiiU::Action
Disney Planes Fire & Rescue,2014,Disney Interactive Studios,0.01,0.01,"",0.0,WiiU::Action
Disney Princess: Enchanted Journey,2007,Disney Interactive Studios,0.11,0.09,"",0.03,PS2::Adventure
Disney Princess: Enchanted Journey,2007,Disney Interactive Studios,0.11,0.09,"",0.03,PS2::Adventure
Disney Princess: Enchanted Journey,2007,Disney Interactive Studios,0.11,0.09,"",0.03,PS2::Adventure
Disney Princess: Enchanted Journey,2007,Disney Interactive Studios,1.24,0.04,"",0.09,Wii::Adventure
Disney Princess: Enchanting Storybooks,2011,THQ,0.26,0.11,"",0.04,Wii::Misc
Disney Princess: Magical Jewels,2007,Disney Interactive Studios,1.15,0.2,"",0.12,DS::Adventure
Disney Sing It,2008,Disney Interactive Studios,0.27,0.07,"",0.04,PS3::Misc
Disney Sing It,2008,Disney Interactive Studios,0.77,0.31,"",0.12,Wii::Misc
Disney Sing It! High School Musical 3: Senior Year,2008,Disney Interactive Studios,0.08,0.26,"",0.07,PS3::Misc
Disney Sing It: Family Hits,2010,Disney Interactive Studios,0.11,0.04,"",0.02,PS3::Misc
Disney Sing It: Family Hits,2010,Disney Interactive Studios,0.39,0.18,"",0.05,Wii::Misc
Disney Sing It: Party Hits,2010,Disney Interactive Studios,0.1,0.01,"",0.01,PS3::Misc
Disney Sing It: Party Hits,2010,Disney Interactive Studios,0.5,0.11,"",0.05,Wii::Misc
Disney Sing It: Pop Hits,2009,Disney Interactive Studios,1.08,0.28,"",0.13,Wii::Misc
Disney Sing It: Pop Hits,2009,Disney Interactive Studios,1.08,0.28,"",0.13,Wii::Misc
Disney Sing It: Pop Hits,2009,Disney Interactive Studios,1.08,0.28,"",0.13,Wii::Misc
Disney Sports Football,2002,Unknown,0.01,0.01,"",0.0,GBA::Sports
Disney Sports Skateboarding,2002,Konami Digital Entertainment,0.05,0.02,"",0.0,GBA::Sports
Disney Sports Skateboarding,2002,Konami Digital Entertainment,0.05,0.01,"",0.0,GC::Sports
Disney Sports Soccer,2002,Konami Digital Entertainment,0.02,0.01,"",0.0,GBA::Sports
Disney Stitch Jam,2009,Disney Interactive Studios,0.08,0.0,0.16,0.0,DS::Misc
Disney Stitch Jam,2009,Disney Interactive Studios,0.08,0.0,0.16,0.0,DS::Misc
Disney TH!NK Fast: The Ultimate Trivia Showdown,2008,Disney Interactive Studios,0.37,0.16,0.01,0.06,Wii::Misc
Disney Tangled,2010,Disney Interactive Studios,0.58,0.37,"",0.09,DS::Action
Disney Universe,2011,Disney Interactive Studios,0.37,0.15,"",0.05,X360::Action
Disney's 102 Dalmatians: Puppies to the Rescue,2000,Eidos Interactive,0.34,0.23,"",0.04,PS::Platform
Disney's Aladdin,2003,Capcom,0.02,0.01,"",0.0,GBA::Platform
Disney's Aladdin,1993,Capcom,0.94,0.34,0.21,0.27,SNES::Platform
Disney's Aladdin in Nasira's Revenge,2000,Sony Computer Entertainment,0.05,0.04,"",0.01,PS::Action
Disney's American Dragon Jake Long: Attack of the Dark Dragon,2006,Disney Interactive Studios,0.15,0.0,"",0.01,DS::Action
Disney's Atlantis: The Lost Empire,2001,THQ,0.09,0.03,"",0.0,GBA::Platform
Disney's Atlantis: The Lost Empire,2001,Sony Computer Entertainment,0.1,0.07,"",0.01,PS::Platform
Disney's Brother Bear,2003,THQ,0.28,0.1,"",0.01,GBA::Action
Disney's Chicken Little,2005,Disney Interactive Studios,0.5,0.18,"",0.01,GBA::Platform
Disney's Chicken Little,2005,Disney Interactive Studios,0.32,0.25,"",0.08,PS2::Platform
Disney's Chicken Little,2005,Disney Interactive Studios,0.1,0.03,"",0.0,XB::Platform
Disney's Chicken Little,2005,Disney Interactive Studios,0.1,0.03,"",0.0,XB::Platform
Disney's Chicken Little,2005,Disney Interactive Studios,0.1,0.03,"",0.0,XB::Platform
Disney's Chicken Little: Ace In Action,2006,Disney Interactive Studios,0.06,0.0,"",0.0,DS::Shooter
Disney's Chicken Little: Ace In Action,N/A,Disney Interactive Studios,0.1,0.0,"",0.01,Wii::Shooter
Disney's Chip 'n Dale: Rescue Rangers,1990,Capcom,0.68,0.14,0.35,0.02,NES::Platform
Disney's Cinderella: Magical Dreams,N/A,Disney Interactive Studios,0.1,0.04,"",0.0,GBA::Platform
Disney's Donald Duck Advance,2001,Ubisoft,0.05,0.02,"",0.0,GBA::Platform
Disney's Donald Duck: Goin' Quackers,2002,Ubisoft,0.03,0.01,"",0.0,GC::Platform
Disney's DuckTales,1988,Capcom,0.82,0.23,0.35,0.03,GB::Platform
Disney's DuckTales,1989,Capcom,0.91,0.3,0.42,0.04,NES::Platform
Disney's Extreme Skate Adventure,2003,Activision,0.2,0.08,"",0.01,GBA::Sports
Disney's Extreme Skate Adventure,2003,Activision,0.2,0.08,"",0.01,GBA::Sports
Disney's Extreme Skate Adventure,2003,Activision,0.09,0.02,"",0.0,GC::Sports
Disney's Extreme Skate Adventure,2003,Activision,0.09,0.02,"",0.0,GC::Sports
Disney's Extreme Skate Adventure,2003,Activision,0.09,0.02,"",0.0,GC::Sports
Disney's Extreme Skate Adventure,2003,Activision,0.16,0.12,"",0.04,PS2::Sports
Disney's Extreme Skate Adventure,2003,Activision,0.16,0.12,"",0.04,PS2::Sports
Disney's Extreme Skate Adventure,2003,Activision,0.08,0.02,"",0.0,XB::Sports
Disney's Hercules / Disney's The Jungle Book: Groove Party / A Bug's Life,2003,Sony Computer Entertainment,0.23,0.15,"",0.03,PS::Misc
Disney's Hide & Sneak,2003,Capcom,0.03,0.01,"",0.0,GC::Action
Disney's Home on the Range,2004,Disney Interactive Studios,0.12,0.04,"",0.0,GBA::Action
Disney's Kim Possible 2: Drakken's Demise,2004,Disney Interactive Studios,0.47,0.17,"",0.01,GBA::Platform
Disney's Kim Possible 3: Team Possible,2005,Disney Interactive Studios,0.33,0.12,"",0.01,GBA::Platform
Disney's Kim Possible: Kimmunicator,2005,Disney Interactive Studios,0.11,0.01,"",0.01,DS::Platform
Disney's Kim Possible: Kimmunicator,2005,Disney Interactive Studios,0.11,0.01,"",0.01,DS::Platform
Disney's Kim Possible: Kimmunicator,2005,Disney Interactive Studios,0.11,0.01,"",0.01,DS::Platform
Disney's Lilo & Stitch,2002,Ubisoft,0.77,0.29,"",0.02,GBA::Platform
Disney's Lilo & Stitch,2002,Ubisoft,0.77,0.29,"",0.02,GBA::Platform
Disney's Magical Quest Starring Mickey and Minnie,2002,Nintendo,0.16,0.06,"",0.0,GBA::Action
Disney's Meet the Robinsons,2007,Disney Interactive Studios,0.02,0.0,"",0.0,DS::Action
Disney's Meet the Robinsons,2007,Disney Interactive Studios,0.17,0.0,"",0.01,Wii::Action
Disney's Meet the Robinsons,2007,Disney Interactive Studios,0.07,0.0,"",0.01,X360::Action
Disney's PK: Out of the Shadows,2002,Ubisoft,0.04,0.01,"",0.0,GC::Platform
Disney's PK: Out of the Shadows,2002,Ubisoft,0.06,0.05,"",0.02,PS2::Platform
Disney's Party,2002,Electronic Arts,0.04,0.01,"",0.0,GC::Misc
Disney's Peter Pan: Return to Never Land,2002,Ubisoft,0.08,0.03,"",0.0,GBA::Platform
Disney's Planes,2013,Disney Interactive Studios,0.04,0.03,"",0.01,3DS::Simulation
Disney's Planes,2013,Disney Interactive Studios,0.13,0.1,"",0.02,DS::Simulation
Disney's Planes,2013,Disney Interactive Studios,0.08,0.07,"",0.02,Wii::Simulation
Disney's Planes,2013,Disney Interactive Studios,0.15,0.04,"",0.02,WiiU::Simulation
Disney's Tarzan,2000,Activision,0.16,0.04,"",0.0,N64::Platform
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,2003,Sony Computer Entertainment,0.69,0.47,"",0.08,PS::Misc
Disney's Tarzan Untamed,2001,Ubisoft,0.2,0.16,"",0.05,PS2::Platform
Disney's Tarzan: Return to the Jungle,2002,Activision,0.25,0.09,"",0.01,GBA::Action
Disney's The Emperor's New Groove,2000,Sony Computer Entertainment,0.17,0.12,"",0.02,PS::Platform
Disney's The Haunted Mansion,2003,Take-Two Interactive,0.08,0.02,"",0.0,GC::Platform
Disney's The Haunted Mansion,2003,Take-Two Interactive,0.18,0.14,"",0.05,PS2::Platform
Disney's The Haunted Mansion,2003,Take-Two Interactive,0.18,0.14,"",0.05,PS2::Platform
Disney's The Jungle Book,2002,Ubisoft,0.07,0.03,"",0.0,GBA::Platform
Disney's The Lion King,1994,Virgin Interactive,1.26,0.39,0.08,0.06,SNES::Platform
Disney's The Lion King: Simba's Mighty Adventure,2000,Activision,0.08,0.06,"",0.01,PS::Action
Disney's Treasure Planet,2002,Sony Computer Entertainment,0.16,0.13,"",0.04,PS2::Action
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005,Ubisoft,0.05,0.01,"",0.0,GC::Platform
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005,Ubisoft,0.05,0.01,"",0.0,GC::Platform
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,2005,Ubisoft,0.06,0.05,"",0.02,PS2::Platform
Disruptor,1995,Interplay,0.07,0.05,"",0.01,PS::Shooter
Dissidia: Final Fantasy Universal Tuning,2009,Square Enix,"",0.0,0.06,0.0,PSP::Fighting
Diva Girls: Divas on Ice,2009,505 Games,0.05,0.0,"",0.0,DS::Sports
Diva Girls: Divas on Ice,2009,505 Games,0.07,0.01,"",0.01,Wii::Sports
Divinity II: Ego Draconis,2009,DTP Entertainment,0.18,0.04,"",0.02,X360::Role-Playing
Divinity II: Ego Draconis,2009,DTP Entertainment,0.18,0.04,"",0.02,X360::Role-Playing
Divinity II: Ego Draconis,2009,DTP Entertainment,0.18,0.04,"",0.02,X360::Role-Playing
Divinity II: Flames of Vengeance,2010,DTP Entertainment,"",0.02,"",0.01,PC::Role-Playing
Divinity II: The Dragon Knight Saga,2010,Focus Home Interactive,0.11,0.02,"",0.01,X360::Role-Playing
Divinity II: The Dragon Knight Saga,2010,Focus Home Interactive,0.11,0.02,"",0.01,X360::Role-Playing
Divinity: Original Sin,2015,Focus Home Interactive,0.09,0.12,0.02,0.04,PS4::Role-Playing
DmC: Devil May Cry,2013,Capcom,0.26,0.13,0.01,0.04,X360::Action
DmC: Devil May Cry,2015,Capcom,0.08,0.04,"",0.01,XOne::Action
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,2010,Namco Bandai Games,"",0.0,0.04,0.0,DS::Action
Do-Konjou Shougakussei: Bon Bita - Hadaka no Choujou Ketsusen!! Bita vs. Dokuro Dei!,2010,Namco Bandai Games,"",0.0,0.04,0.0,DS::Action
DoDonPachi Dai-Oujou: Black Label Extra,2009,5pb,"",0.0,0.02,0.0,X360::Shooter
DoDonPachi Daifukkatsu: Black Label,2011,Cave,"",0.0,0.01,0.0,X360::Shooter
DoDonPachi Resurrection,2010,Rising Star Games,"",0.05,"",0.01,X360::Shooter
DoDonPachi Saidaioujou,2013,Cave,"",0.0,0.01,0.0,X360::Shooter
Doctor Lautrec and the Forgotten Knights,2011,Konami Digital Entertainment,0.07,0.05,0.03,0.01,3DS::Adventure
Doctor Who: Return to Earth,2010,Asylum Entertainment,"",0.16,"",0.02,Wii::Adventure
Dodge Racing: Charger vs Challenger,2009,Zushi Games,0.03,0.0,"",0.0,DS::Racing
Dodge Racing: Charger vs Challenger,2009,Zushi Games,0.11,0.0,"",0.01,Wii::Racing
Dog's Life,2003,Sony Computer Entertainment,0.21,0.16,"",0.05,PS2::Adventure
Dogz,2006,Ubisoft,0.51,0.02,"",0.04,DS::Simulation
Dogz,2004,Ubisoft,0.45,0.17,"",0.01,GBA::Simulation
Dokapon Journey,2008,Sting,0.05,0.0,"",0.0,DS::Role-Playing
Dokapon Kingdom,2007,Sting,0.05,0.04,0.02,0.01,PS2::Role-Playing
Doki Doki! PreCure Narikiri Life!,2013,Namco Bandai Games,"",0.0,0.04,0.0,3DS::Action
Doki-Doki Universe,2013,Sony Computer Entertainment,0.01,0.04,"",0.01,PSV::Adventure
DokiDoki Majo Shinpan!,2007,SNK Playmore,"",0.0,0.05,0.0,DS::Adventure
DokuSui: DokiDoki Suikoden,2011,Irem Software Engineering,"",0.0,0.01,0.0,PSP::Role-Playing
Dokuro,2012,GungHo,"",0.0,0.01,0.0,PSV::Action
Dollar Dash,2005,Take-Two Interactive,1.3,0.23,"",0.07,PS2::Action
Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,2014,Happinet,"",0.0,0.04,0.0,3DS::Adventure
Dolphin,1983,Activision,0.27,0.02,"",0.0,2600::Action
Don Bradman Cricket 14,2014,Tru Blu Entertainment,"",0.02,"",0.0,PS3::Sports
Don Bradman Cricket 14,2014,Tru Blu Entertainment,"",0.01,"",0.0,X360::Sports
Don King Boxing,2009,Take-Two Interactive,0.06,0.01,"",0.01,DS::Sports
Don King Presents: Prizefighter,2008,Take-Two Interactive,0.14,0.08,"",0.02,X360::Sports
Donkey Kong,1994,Nintendo,1.57,0.62,0.55,0.34,GB::Platform
Donkey Kong,1983,Nintendo,0.23,0.05,0.84,0.01,NES::Platform
Donkey Kong 64,1999,Nintendo,3.33,0.79,1.09,0.06,N64::Platform
Donkey Kong 64,1999,Nintendo,3.33,0.79,1.09,0.06,N64::Platform
Donkey Kong Barrel Blast,2007,Nintendo,0.2,0.26,0.11,0.06,Wii::Racing
Donkey Kong Country,2000,Nintendo,1.04,0.72,0.3,0.13,GB::Platform
Donkey Kong Country,2003,Nintendo,1.2,0.48,0.29,0.07,GBA::Platform
Donkey Kong Country 2: Diddy's Kong Quest,1995,Nintendo,2.1,0.74,2.2,0.11,SNES::Platform
Donkey Kong Country 3,2005,Nintendo,0.45,0.17,0.14,0.01,GBA::Platform
Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996,Nintendo,1.17,0.5,1.75,0.08,SNES::Platform
Donkey Kong Country Returns,2010,Nintendo,3.25,1.84,1.03,0.47,Wii::Platform
Donkey Kong GB: Dinky Kong & Dixie Kong,2000,Nintendo,"",0.0,0.28,0.0,GB::Platform
Donkey Kong Jr.,1983,Nintendo,0.33,0.07,0.7,0.01,NES::Platform
Donkey Kong Jungle Beat,2008,Nintendo,"",0.01,"",0.0,Wii::Platform
Donkey Kong Jungle Climber,2007,Nintendo,0.26,0.04,0.24,0.03,DS::Platform
Donkey Kong Junior,1981,Atari,0.9,0.05,"",0.01,2600::Platform
Donkey Kong Junior,1981,Atari,0.9,0.05,"",0.01,2600::Platform
Donkey Kong Junior,1981,Atari,0.9,0.05,"",0.01,2600::Platform
Donkey Kong Land II,1996,Nintendo,1.39,0.48,0.4,0.08,GB::Platform
Donkey Kong Land III,N/A,Nintendo,0.68,0.31,"",0.04,GB::Platform
Donkey Konga,2003,Nintendo,0.5,0.16,0.46,0.03,GC::Misc
Donkey Konga 2,2004,Nintendo,0.3,0.08,"",0.01,GC::Misc
Dood's Big Adventure,2010,THQ,0.22,0.01,"",0.02,Wii::Platform
Doodle Hex,2008,Pinnacle,"",0.03,"",0.0,DS::Puzzle
Doom,2001,Activision,0.1,0.04,"",0.0,GBA::Shooter
Doom,1994,Infogrames,0.43,0.3,"",0.05,PS::Shooter
Doom (2016),2016,Bethesda Softworks,0.06,0.1,"",0.01,PC::Shooter
Doom (2016),2016,Bethesda Softworks,0.49,0.66,0.02,0.22,PS4::Shooter
Doom 3,2004,Activision,0.05,0.04,"",0.01,PC::Shooter
Doom 3,2005,Activision,0.85,0.43,"",0.06,XB::Shooter
Doom 3 BFG Edition,2012,Bethesda Softworks,"",0.02,"",0.01,PC::Shooter
Doom 3 BFG Edition,2012,Bethesda Softworks,0.26,0.22,"",0.1,PS3::Shooter
Doom 64,1997,Midway Games,0.38,0.08,"",0.01,N64::Shooter
Doom II: Hell on Earth,1994,Virgin Interactive,2.05,1.4,"",0.16,PC::Shooter
Dora & Kai-Lan's Pet Shelter,2011,Take-Two Interactive,0.08,0.01,"",0.01,DS::Strategy
Dora The Explorer: Dora Saves the Snow Princess,2008,Take-Two Interactive,0.19,0.15,"",0.05,PS2::Platform
Dora the Explorer: Dora Puppy,2009,Take-Two Interactive,0.39,0.01,"",0.03,DS::Misc
Dora the Explorer: Dora Saves the Crystal Kingdom,2009,Take-Two Interactive,0.05,0.04,"",0.01,PS2::Misc
Dora the Explorer: Dora Saves the Crystal Kingdom,2009,Take-Two Interactive,0.05,0.04,"",0.01,PS2::Misc
Dora the Explorer: Dora Saves the Crystal Kingdom,2009,Take-Two Interactive,0.24,0.01,"",0.02,Wii::Misc
