Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Disgaea D2: A Brighter Darkness,PS3,2013,Role-Playing,Nippon Ichi Software,0.09,0.0,0.1,0.01
Disgaea DS,DS,2008,Role-Playing,Square Enix,0.11,0.02,0.05,0.01
Dishonored,PS4,2015,Action,Bethesda Softworks,0.11,0.18,0.02,0.06
Disney Art Academy,3DS,2016,Action,Nintendo,0.01,0.01,0.07,0.0
Disney Channel: All Star Party,Wii,2010,Misc,Disney Interactive Studios,0.18,0.08,0.0,0.02
Disney Friends,DS,2007,Simulation,Disney Interactive Studios,0.13,0.04,0.0,0.01
Disney Infinity 2.0: Marvel Super Heroes,PS3,2014,Action,Disney Interactive Studios,0.44,0.4,0.0,0.17
Disney Infinity 2.0: Marvel Super Heroes,PSV,2015,Action,Disney Interactive Studios,0.0,0.11,0.0,0.03
Disney Infinity 2.0: Marvel Super Heroes,X360,2014,Action,Disney Interactive Studios,0.62,0.4,0.0,0.1
Disney Infinity 2.0: Marvel Super Heroes,XOne,2014,Action,Disney Interactive Studios,0.24,0.15,0.0,0.03
Disney Infinity 3.0,PS4,2015,Action,Disney Interactive Studios,0.21,0.36,0.0,0.11
Disney Infinity 3.0,XOne,2015,Action,Disney Interactive Studios,0.18,0.1,0.0,0.03
Disney Princess,GBA,2003,Platform,THQ,1.04,0.37,0.0,0.06
Disney Princess: Enchanting Storybooks,DS,2011,Misc,THQ,0.08,0.04,0.0,0.01
Disney Sing It,PS2,2008,Misc,Disney Interactive Studios,0.25,0.19,0.0,0.06
Disney Sing It,X360,2008,Misc,Disney Interactive Studios,0.39,0.01,0.0,0.03
Disney Sing It! High School Musical 3: Senior Year,PS2,2008,Misc,Disney Interactive Studios,0.09,0.02,0.0,0.34
Disney Sing It! High School Musical 3: Senior Year,Wii,2008,Misc,Disney Interactive Studios,0.32,0.23,0.0,0.04
Disney Sing It! High School Musical 3: Senior Year,X360,2009,Misc,Disney Interactive Studios,0.09,0.0,0.0,0.01
Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios,0.1,0.02,0.0,0.22
Disney Sing It: Pop Hits,PS3,2009,Misc,Disney Interactive Studios,0.17,0.05,0.0,0.03
Disney Sports Basketball,GBA,2002,Sports,Konami Digital Entertainment,0.01,0.0,0.0,0.0
Disney Sports Football,GC,2002,Sports,Konami Digital Entertainment,0.01,0.0,0.0,0.0
Disney Sports Soccer,GC,2002,Sports,Konami Digital Entertainment,0.03,0.01,0.0,0.0
Disney TH!NK Fast: The Ultimate Trivia Showdown,PS2,2008,Misc,Disney Interactive Studios,0.08,0.06,0.0,0.02
Disney Tangled,Wii,2010,Action,Disney Interactive Studios,0.47,0.17,0.0,0.05
Disney Universe,PS3,2011,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09
Disney Universe,Wii,2011,Action,Disney Interactive Studios,0.67,0.3,0.0,0.1
Disney's A Christmas Carol,DS,2009,Adventure,Disney Interactive Studios,0.22,0.01,0.0,0.02
Disney's Chicken Little,GC,2005,Platform,Disney Interactive Studios,0.21,0.05,0.0,0.01
Disney's Donald Duck: Goin' Quackers,N64,2000,Platform,Ubisoft,0.08,0.02,0.0,0.0
Disney's Donald Duck: Goin' Quackers,PS,2000,Platform,Ubisoft,0.08,0.06,0.0,0.01
Disney's Donald Duck: Goin' Quackers,PS2,2000,Platform,Ubisoft,0.04,0.03,0.0,0.01
Disney's Kim Possible: Global Gemini,DS,2007,Platform,Disney Interactive Studios,0.05,0.01,0.0,0.0
Disney's Kim Possible: Revenge of Monkey Fist,GBA,2002,Platform,THQ,0.37,0.14,0.0,0.01
Disney's Magical Mirror Starring Mickey Mouse,GC,2002,Adventure,Nintendo,0.15,0.04,0.0,0.01
Disney's Magical Quest 2 Starring Mickey and Minnie,GBA,2003,Action,Capcom,0.05,0.02,0.0,0.0
Disney's Magical Quest 3 Starring Mickey and Donald,GBA,2003,Action,Capcom,0.02,0.01,0.0,0.0
Disney's Meet the Robinsons,GC,2007,Action,Disney Interactive Studios,0.03,0.01,0.0,0.0
Disney's Party,GBA,2003,Misc,Hudson Entertainment,0.05,0.02,0.0,0.0
Disney's Stitch: Experiment 626,PS2,2002,Action,Sony Computer Entertainment,0.15,0.12,0.0,0.04
Disney's Story Studio: Disney's Mulan,PS,1999,Misc,Sony Computer Entertainment,0.09,0.06,0.0,0.01
Disney's Tarzan Untamed,GC,2001,Platform,Ubisoft,0.14,0.04,0.0,0.0
Disney's The Haunted Mansion,XB,2003,Platform,Take-Two Interactive,0.07,0.02,0.0,0.0
Disney's The Lion King,GEN,1994,Platform,Virgin Interactive,0.97,0.37,0.03,0.05
Disney's The Little Mermaid: Ariel's Undersea Adventure,DS,2006,Action,Disney Interactive Studios,0.73,0.03,0.0,0.06
Disney's Treasure Planet,GBA,2002,Action,Ubisoft,0.2,0.07,0.0,0.01
Disney's Winnie the Pooh's Rumbly Tumbly Adventure,GBA,2005,Platform,Ubisoft,0.09,0.03,0.0,0.0
Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.13,0.46,0.08
Dissidia: Final Fantasy,PSP,2008,Fighting,Square Enix,0.51,0.51,0.91,0.32
Divinity II: Ego Draconis,PC,2009,Role-Playing,DTP Entertainment,0.01,0.05,0.0,0.01
Divinity: Original Sin,PC,2014,Role-Playing,Focus Home Interactive,0.0,0.02,0.0,0.0
Divinity: Original Sin,XOne,2015,Role-Playing,Focus Home Interactive,0.04,0.02,0.0,0.01
DmC: Devil May Cry,PS3,2013,Action,Capcom,0.24,0.28,0.19,0.12
DmC: Devil May Cry,PS4,2015,Action,Capcom,0.12,0.13,0.0,0.05
Doctor Who: Evacuation Earth,DS,2010,Adventure,Asylum Entertainment,0.0,0.14,0.0,0.02
Dokapon Kingdom,Wii,2008,Role-Playing,Sting,0.12,0.0,0.0,0.01
Doki Majo Plus,DS,2009,Adventure,SNK Playmore,0.0,0.0,0.02,0.0
Doki Oki,PS,1995,Adventure,Banpresto,0.0,0.0,0.02,0.0
DokiDoki Majo Shinpan! 2,DS,2008,Adventure,SNK Playmore,0.0,0.0,0.03,0.0
Doko Demo Issho,PSP,2004,Misc,Sony Computer Entertainment,0.0,0.0,0.1,0.0
Doko Demo Issho: Let's Gakkou!,PSP,2006,Misc,Sony Computer Entertainment,0.0,0.0,0.04,0.0
Doko Demo Issyo,PS,1999,Misc,Sony Computer Entertainment,0.0,0.0,1.0,0.07
Domino Rally,Wii,2007,Action,Nordcurrent,0.05,0.0,0.0,0.0
Don Bradman Cricket 14,PS4,2015,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02
Don Bradman Cricket 14,XOne,2015,Sports,Tru Blu Entertainment,0.0,0.04,0.0,0.0
Don King Boxing,Wii,2009,Sports,Take-Two Interactive,0.14,0.1,0.0,0.03
Donkey Kong,2600,1981,Platform,Coleco,1.36,0.08,0.0,0.02
Donkey Kong Classics,NES,1988,Platform,Nintendo,0.59,0.14,0.81,0.02
Donkey Kong Country,SNES,1994,Platform,Nintendo,4.36,1.71,3.0,0.23
Donkey Kong Country 2,GBA,2004,Platform,Nintendo,0.79,0.27,0.12,0.04
Donkey Kong Country Returns,3DS,2013,Platform,Nintendo,0.73,0.62,0.4,0.12
Donkey Kong Country: Tropical Freeze,WiiU,2014,Platform,Nintendo,0.73,0.52,0.15,0.12
Donkey Kong Jungle Beat,GC,2004,Platform,Nintendo,0.84,0.22,0.24,0.04
Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,0.76,1.07,0.11
Doom,PC,1992,Shooter,id Software,0.02,0.0,0.0,0.0
Doom (2016),XOne,2016,Shooter,Bethesda Softworks,0.39,0.23,0.0,0.06
Doom 3 BFG Edition,X360,2012,Shooter,Bethesda Softworks,0.28,0.17,0.0,0.04
Doom 3: Resurrection of Evil,XB,2005,Shooter,Activision,0.53,0.15,0.0,0.03
Doom II: Hell on Earth,GBA,2002,Shooter,Activision,0.03,0.01,0.0,0.0
Dora The Explorer: Dora Saves the Snow Princess,DS,2008,Platform,Take-Two Interactive,0.27,0.16,0.0,0.04
Dora The Explorer: Dora Saves the Snow Princess,Wii,2008,Platform,Take-Two Interactive,0.5,0.03,0.0,0.04
Dora the Explorer: Dora Saves the Mermaids,DS,2007,Platform,Take-Two Interactive,0.97,0.01,0.0,0.08
Dora the Explorer: Journey to the Purple Planet,GC,2005,Adventure,Global Star,0.09,0.02,0.0,0.0
Dora's Cooking Club,DS,2010,Misc,Take-Two Interactive,0.08,0.01,0.0,0.01
Dorabase DS: Dramatic Stadium,DS,2007,Sports,Namco Bandai Games,0.0,0.0,0.21,0.0
Doraemon,NES,1986,Action,Hudson Soft,0.0,0.0,1.15,0.0
Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,Epoch,0.0,0.0,0.05,0.0
Doraemon: Nobita and the Island of Miracles,3DS,2012,Action,FuRyu,0.0,0.0,0.08,0.0
Doraemon: Nobita no Kyouryuu 2006 DS,DS,2006,Role-Playing,Sega,0.0,0.0,0.05,0.0
Doraemon: Nobita no Uchuu Eiyuuki,3DS,2015,Action,FuRyu,0.0,0.0,0.06,0.0
Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,2013,Action,FuRyu,0.0,0.0,0.07,0.0
Doraemon: Nobita to Midori no Kyojinden DS,DS,2008,Platform,Sega,0.0,0.0,0.09,0.0
Doubutsu no Mori,N64,2001,Simulation,Nintendo,0.0,0.0,0.26,0.05
Doukyuusei 2,SAT,1997,Role-Playing,NEC Interchannel,0.0,0.0,0.13,0.0
Downforce,PS2,2002,Racing,Avalon Interactive,0.03,0.02,0.0,0.01
Downhill Domination,PS2,2003,Racing,Codemasters,0.23,0.18,0.0,0.06
Dr. Seuss' The Cat in the Hat,XB,2003,Misc,Vivendi Games,0.08,0.02,0.0,0.0
Dr. Seuss: Green Eggs and Ham,GBA,2003,Action,NewKidCo,0.04,0.01,0.0,0.0
Dr. Seuss: How the Grinch Stole Christmas,DS,2007,Action,CokeM Interactive,0.29,0.0,0.0,0.02
Draglade,DS,2007,Fighting,505 Games,0.09,0.0,0.0,0.01
Dragon Age II,PC,2011,Action,Electronic Arts,0.23,0.33,0.0,0.09
Dragon Age Origins: Awakening,PC,2010,Role-Playing,Electronic Arts,0.01,0.1,0.0,0.02
Dragon Age Origins: Awakening,X360,2010,Role-Playing,Electronic Arts,0.33,0.1,0.0,0.04
Dragon Age: Inquisition,PS4,2014,Role-Playing,Electronic Arts,0.72,0.86,0.08,0.32
Dragon Age: Origins,PC,2009,Role-Playing,Electronic Arts,0.0,0.46,0.0,0.06
Dragon Age: Origins,X360,2009,Role-Playing,Electronic Arts,1.76,0.56,0.03,0.22
Dragon Age: Origins - Ultimate Edition,PC,2010,Role-Playing,Electronic Arts,0.0,0.12,0.0,0.02
Dragon Ball Heroes: Ultimate Mission 2,3DS,2014,Strategy,Namco Bandai Games,0.0,0.0,0.31,0.0
Dragon Ball Kai: Ultimate Butouden,DS,2011,Fighting,Namco Bandai Games,0.0,0.0,0.09,0.0
Dragon Ball Z Super Gokuden: Kakusei-Hen,SNES,1995,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0
Dragon Ball Z: Battle of Z,PSV,2014,Fighting,Namco Bandai Games,0.0,0.04,0.06,0.02
Dragon Ball Z: Battle of Z,X360,2014,Fighting,Namco Bandai Games,0.01,0.06,0.0,0.01
Dragon Ball Z: Budokai,GC,2003,Fighting,Atari,0.53,0.14,0.0,0.02
Dragon Ball Z: Budokai Tenkaichi 2,PS2,2006,Fighting,Atari,0.66,0.02,0.0,0.11
Dragon Ball Z: Budokai Tenkaichi 2,Wii,2006,Fighting,Atari,0.24,0.03,0.0,0.02
Dragon Ball Z: Budokai Tenkaichi 2 (JP sales),Wii,N/A,Action,N/A,0.15,0.05,0.14,0.01
Dragon Ball Z: Extreme Butoden,3DS,2015,Fighting,Namco Bandai Games,0.12,0.03,0.16,0.02
Dragon Ball Z: Harukanaru Densetsu,DS,2007,Role-Playing,Namco Bandai Games,0.19,0.0,0.0,0.02
Dragon Ball Z: Idainaru Dragon Ball Densetsu,PS,1996,Fighting,Namco Bandai Games,0.0,0.0,0.18,0.01
Dragon Ball Z: Sagas,GC,2005,Fighting,Atari,0.16,0.04,0.0,0.01
Dragon Ball Z: Sagas,XB,2005,Fighting,Atari,0.18,0.05,0.0,0.01
Dragon Ball Z: Shin Budokai,PSP,2006,Fighting,Atari,0.26,0.08,0.13,0.07
Dragon Ball Z: Shin Budokai - Another Road,PSP,2007,Fighting,Atari,0.19,0.09,0.08,0.07
Dragon Ball Z: Tenkaichi Tag Team,PSP,2010,Fighting,Namco Bandai Games,0.11,0.04,0.09,0.03
Dragon Ball Z: The Legacy of Goku I & II,GBA,2005,Role-Playing,Atari,0.05,0.02,0.0,0.0
Dragon Ball: Advanced Adventure,GBA,2004,Action,Namco Bandai Games,0.03,0.01,0.0,0.0
Dragon Ball: Fusions,3DS,2016,Role-Playing,Namco Bandai Games,0.0,0.0,0.17,0.0
Dragon Ball: Raging Blast,PS3,2009,Fighting,Namco Bandai Games,0.37,0.19,0.11,0.1
Dragon Ball: Raging Blast,X360,2009,Fighting,Namco Bandai Games,0.36,0.09,0.02,0.04
Dragon Ball: Raging Blast 2,PS3,2010,Fighting,Namco Bandai Games,0.42,0.2,0.11,0.09
Dragon Ball: XenoVerse,XOne,2015,Fighting,Namco Bandai Games,0.18,0.11,0.0,0.03
Dragon Force II: Kamisarishi Daichi ni,SAT,1998,Strategy,Sega,0.0,0.0,0.08,0.0
Dragon Quest 25 Shuunen Kinin: Famicom & Super Famicom Dragon Quest I-II-III,Wii,2011,Role-Playing,Square Enix,0.0,0.0,0.47,0.0
Dragon Quest Builders: Revive Alefgard,PS3,2016,Role-Playing,Square Enix,0.0,0.0,0.12,0.0
Dragon Quest Builders: Revive Alefgard,PS4,2016,Role-Playing,Square Enix,0.0,0.0,0.22,0.0
Dragon Quest Builders: Revive Alefgard,PSV,2016,Role-Playing,Square Enix,0.0,0.0,0.3,0.0
Dragon Quest Heroes II: Twin Kings and the Prophecy's End,PSV,2016,Action,Square Enix,0.0,0.0,0.23,0.0
Dragon Quest III: Soshite Densetsu e...,SNES,1996,Role-Playing,Enix Corporation,0.0,0.0,1.36,0.0
Dragon Quest IV: Michibikareshi Monotachi,PS,2001,Role-Playing,Enix Corporation,0.0,0.0,1.2,0.01
Dragon Quest Monsters 2,GB,2001,Role-Playing,Enix Corporation,0.0,0.0,1.56,0.0
Dragon Quest Monsters Joker 3,3DS,2016,Role-Playing,Square Enix,0.0,0.0,0.63,0.0
Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,Wii,2007,Role-Playing,Square Enix,0.18,0.01,0.5,0.02
Dragon Quest VI: Realms of Revelation,DS,2010,Role-Playing,Nintendo,0.22,0.21,1.35,0.03
Dragon Quest X,Wii,2012,Role-Playing,Square Enix,0.0,0.0,0.96,0.0
Dragon Quest: Shounen Yangus to Fushigi no Dungeon,PS2,2006,Role-Playing,Square Enix,0.0,0.0,0.29,0.0
Dragon Rage,PS2,2001,Shooter,3DO,0.03,0.02,0.0,0.01
Dragon Slayer: The Legend of Heroes,GEN,1994,Role-Playing,Sega,0.0,0.0,0.08,0.0
Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,0.04,0.03,0.0,0.0
Dragon Warrior II,NES,1987,Role-Playing,Enix Corporation,0.15,0.0,2.41,0.0
Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,0.0,0.0,2.34,0.01
Dragon's Crown,PS3,2013,Role-Playing,Nippon Ichi Software,0.25,0.07,0.17,0.05
Dragon's Lair,DS,2010,Platform,Destineer,0.02,0.0,0.0,0.0
Dragon's Lair 3D: Return to the Lair,GC,2002,Platform,THQ,0.03,0.01,0.0,0.0
Dragoneer's Aria,PSP,2007,Role-Playing,Tecmo Koei,0.02,0.0,0.05,0.0
Dragonfire,2600,1981,Action,Imagic,0.35,0.02,0.0,0.0
Drake & Josh: Talent Showdown,DS,2007,Adventure,THQ,0.03,0.0,0.0,0.0
Drake of the 99 Dragons,XB,N/A,Shooter,Unknown,0.05,0.01,0.0,0.0
Dramatic Soccer Game: Nippon Daihyou Senshu Ninarou!,PS2,2002,Sports,Enix Corporation,0.0,0.0,0.04,0.0
Dramatical Murder Re:code,PSV,2014,Adventure,Nitroplus,0.0,0.0,0.01,0.0
Drawn To Life: SpongeBob SquarePants Edition,DS,2008,Adventure,THQ,1.0,0.36,0.0,0.13
Drawn to Life,DS,2007,Action,THQ,0.71,0.02,0.0,0.06
Dream C Club Portable,PSP,2010,Simulation,D3Publisher,0.0,0.0,0.06,0.0
Dream C Club: GoGo,PS3,2014,Adventure,D3Publisher,0.0,0.0,0.02,0.0
Dream Dancer,DS,N/A,Misc,N/A,0.01,0.0,0.0,0.0
Dream Day: Wedding Destinations,DS,2009,Simulation,THQ,0.08,0.0,0.0,0.01
Dream Pinball 3D,DS,2008,Misc,SouthPeak Games,0.03,0.0,0.0,0.0
DreamWorks Super Star Kartz,3DS,2011,Racing,Activision,0.08,0.03,0.0,0.01
Dreamer Series: Horse Trainer,DS,2008,Simulation,DreamCatcher Interactive,0.02,0.0,0.0,0.0
Dreamer Series: Zoo Keeper,DS,2010,Simulation,DreamCatcher Interactive,0.06,0.0,0.0,0.0
Dreamworks Madagascar Kartz,X360,2009,Racing,Activision,0.14,0.09,0.0,0.02
Drift King Shutokou Battle '94,SNES,1994,Racing,BPS,0.0,0.0,0.2,0.0
Driv3r,GBA,2005,Racing,Atari,0.02,0.01,0.0,0.0
DriveClub,PS4,2014,Racing,Sony Computer Entertainment,0.35,1.31,0.02,0.33
Driver,PS,1999,Action,GT Interactive,3.11,2.8,0.02,0.33
Driver 2,PS,2000,Action,Atari,2.36,2.1,0.02,0.25
Driver: Parallel Lines,PS2,2006,Racing,Atari,0.12,0.1,0.03,0.03
Driver: Parallel Lines,XB,2006,Racing,Atari,0.05,0.01,0.0,0.0
Driving Simulator 2011,PC,2011,Racing,N/A,0.0,0.01,0.0,0.0
Drome Racers,PS2,2002,Racing,Electronic Arts,0.06,0.05,0.0,0.02
DropCast,DS,2008,Puzzle,THQ,0.06,0.0,0.0,0.0
Dual Heroes,N64,1997,Fighting,Hudson Soft,0.04,0.01,0.0,0.0
Ducati Moto,DS,2008,Racing,Vir2L Studios,0.02,0.0,0.0,0.0
Ducati World Racing Challenge,PS,2001,Racing,Acclaim Entertainment,0.02,0.01,0.0,0.0
Duck Hunt,NES,1984,Shooter,Nintendo,26.93,0.63,0.28,0.47
Duel Love: Koisuru Otome wa Shouri no Megami,DS,2008,Adventure,Namco Bandai Games,0.0,0.0,0.01,0.0
Duel Masters: Kaijudo Showdown,GBA,2004,Misc,Atari,0.16,0.06,0.0,0.0
Duke Nukem 64,N64,1997,Shooter,GT Interactive,0.35,0.08,0.0,0.01
Duke Nukem: Zero Hour,N64,1999,Shooter,GT Interactive,0.21,0.05,0.0,0.0
Dunamis 15,X360,2011,Adventure,5pb,0.0,0.0,0.02,0.0
Dungeon Explorer: Warriors of Ancient Arts,DS,2007,Role-Playing,Rising Star Games,0.05,0.0,0.0,0.0
Dungeon Raiders,DS,2009,Role-Playing,Focus Home Interactive,0.05,0.0,0.0,0.0
Dungeon Siege III,PC,2011,Role-Playing,Square Enix,0.08,0.08,0.0,0.02
Dungeon Siege: Throne of Agony,PSP,2006,Role-Playing,Take-Two Interactive,0.13,0.02,0.0,0.02
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,2014,Role-Playing,Atlus,0.07,0.03,0.05,0.03
Dungeons & Dragons Heroes,XB,2003,Role-Playing,Atari,0.19,0.06,0.0,0.01
Durarara!! 3way Standoff: Alley,PSP,2011,Adventure,Kadokawa Shoten,0.0,0.0,0.04,0.0
Dying Light,XOne,2015,Action,Warner Bros. Interactive Entertainment,0.43,0.3,0.01,0.07
Dynamite Headdy,GEN,1993,Platform,Sega,0.0,0.0,0.05,0.0
Dynasty Warriors,PSP,2004,Action,Tecmo Koei,0.18,0.01,0.3,0.02
Dynasty Warriors 3,XB,2002,Action,THQ,0.06,0.02,0.0,0.0
Dynasty Warriors 5,PS2,2005,Action,Tecmo Koei,0.24,0.18,0.91,0.06
Dynasty Warriors 6,X360,2007,Action,Tecmo Koei,0.15,0.06,0.06,0.02
Dynasty Warriors 6 Empires,X360,2009,Action,Tecmo Koei,0.16,0.02,0.04,0.02
Dynasty Warriors 7: Empires,PS3,2012,Action,Ubisoft Annecy,0.0,0.0,0.14,0.0
Dynasty Warriors 7: Xtreme Legends,PS3,2011,Action,Tecmo Koei,0.04,0.05,0.16,0.02
Dynasty Warriors 8,PS3,2013,Action,Tecmo Koei,0.12,0.11,0.34,0.05
Dynasty Warriors 8: Xtreme Legends,PS3,2013,Action,Tecmo Koei,0.02,0.03,0.11,0.01
Dynasty Warriors 8: Xtreme Legends,PSV,2013,Action,Tecmo Koei,0.04,0.03,0.05,0.02
Dynasty Warriors Gundam,PS3,2007,Action,Tecmo Koei,0.14,0.01,0.31,0.02
Dynasty Warriors: Gundam,PS2,2008,Action,Namco Bandai Games,0.0,0.0,0.28,0.0
Dynasty Warriors: Gundam 2,PS2,2008,Action,Namco Bandai Games,0.04,0.03,0.25,0.01
Dynasty Warriors: Strikeforce,PS3,2009,Action,Tecmo Koei,0.11,0.08,0.07,0.03
Dynasty Warriors: Strikeforce,X360,2009,Action,Tecmo Koei,0.13,0.06,0.02,0.02
E.T. The Extra-Terrestrial,GBA,2001,Action,NewKidCo,0.01,0.0,0.0,0.0
E.T. The Extra-Terrestrial: Interplanetary Mission,PS,2001,Platform,Ubisoft,0.02,0.01,0.0,0.0
E0: Enemy Zero,SAT,1996,Adventure,Sega,0.0,0.0,0.41,0.0
EA Playground,Wii,2007,Sports,Electronic Arts,0.69,0.48,0.0,0.13
EA Sports Active: More Workouts,Wii,2009,Sports,Electronic Arts,0.78,0.28,0.0,0.1
EA Sports Grand Slam Tennis,Wii,2009,Sports,Electronic Arts,0.29,0.52,0.02,0.11
EA Sports MMA,X360,2010,Fighting,Electronic Arts,0.23,0.1,0.0,0.03
EA Sports UFC,XOne,2014,Sports,Electronic Arts,0.3,0.12,0.0,0.04
ECW Anarchy Rulz,PS,1999,Fighting,Acclaim Entertainment,0.06,0.04,0.0,0.01
ESA Game Pack,PS3,2010,Misc,Sony Computer Entertainment,0.09,0.0,0.0,0.01
ESPN College Hoops 2K5,PS2,2004,Sports,Sega,0.41,0.32,0.0,0.11
ESPN College Hoops 2K5,XB,2004,Sports,Sega,0.29,0.08,0.0,0.01
ESPN Extreme Games,PS,1994,Sports,Sony Computer Entertainment,0.11,0.08,0.17,0.03
ESPN Great Outdoor Games Bass 2002,GBA,2001,Sports,Konami Digital Entertainment,0.03,0.01,0.0,0.0
ESPN MLS ExtraTime 2002,GC,2002,Sports,Konami Digital Entertainment,0.02,0.0,0.0,0.0
ESPN NBA 2Night,PS2,2000,Sports,Konami Digital Entertainment,0.05,0.04,0.0,0.01
ESPN NFL 2K5,XB,2004,Sports,Sega,1.54,0.02,0.0,0.07
ESPN NFL Football,PS2,2003,Sports,Sega,0.27,0.21,0.0,0.07
ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0.0,0.11
ESPN Winter X Games: Snowboarding 2002,PS2,2000,Sports,Konami Digital Entertainment,0.1,0.08,0.0,0.03
ESPN: Sports Connection,WiiU,2012,Sports,Ubisoft,0.21,0.12,0.0,0.04
EX Monopoly,GBA,2001,Misc,Takara,0.16,0.06,0.0,0.0
Earth Defense Force 2017 (old JP sales),X360,2006,Shooter,D3Publisher,0.0,0.0,0.02,0.0
Earth Defense Force 2025,X360,2013,Shooter,D3Publisher,0.06,0.04,0.05,0.01
Earth Defense Force 2: Invaders from Planet Space,PSP,2011,Action,D3Publisher,0.0,0.0,0.14,0.0
Earthworm Jim 2,GBA,2002,Platform,Vivendi Games,0.02,0.01,0.0,0.0
East India Company,PC,2009,Strategy,Paradox Interactive,0.01,0.0,0.0,0.0
Eat Lead: The Return of Matt Hazard,PS3,2009,Shooter,D3Publisher,0.09,0.02,0.0,0.01
"Ed, Edd n Eddy: The Mis-Edventures",PS2,2005,Platform,Midway Games,0.34,0.01,0.0,0.06
Egg Mania: Eggstreme Madness,GC,2002,Puzzle,Kemco,0.01,0.0,0.0,0.0
Eikan wa Kimini 2002: Koshien no Kodou,PS2,2002,Sports,DigiCube,0.0,0.0,0.06,0.0
Eiken DS,DS,2007,Misc,Rocket Company,0.0,0.0,0.07,0.0
Eiyuu Densetsu: Sora no Kiseki Material Collection Portable,PSP,2007,Role-Playing,Falcom Corporation,0.0,0.0,0.01,0.0
El Shaddai: Ascension of the Metatron,PS3,2011,Action,Ignition Entertainment,0.11,0.07,0.08,0.03
Elebits,Wii,2006,Action,Konami Digital Entertainment,0.22,0.01,0.08,0.02
Elf Bowling 1 & 2,DS,2005,Sports,Ignition Entertainment,0.02,0.0,0.0,0.0
Elf Bowling 1 & 2,GBA,2005,Sports,Ignition Entertainment,0.02,0.01,0.0,0.0
Elite Beat Agents,DS,2006,Misc,Nintendo,0.31,0.03,0.0,0.03
Emblem of Gundam,DS,2008,Strategy,Namco Bandai Games,0.0,0.0,0.06,0.0
Emergency 2012,DS,2010,Simulation,Rondomedia,0.0,0.02,0.0,0.0
Empire Earth,PC,2001,Strategy,Vivendi Games,0.0,0.04,0.0,0.01
Empire Earth II,PC,2005,Strategy,Vivendi Games,0.0,0.03,0.0,0.0
Empire Earth III,PC,2007,Strategy,Vivendi Games,0.0,0.03,0.0,0.01
Enchanted Arms,PS3,2007,Role-Playing,Ubisoft,0.17,0.01,0.0,0.02
Enchanted Arms,X360,2006,Role-Playing,Ubisoft,0.16,0.02,0.0,0.02
Enchanted Arms (JP sales),PS3,2007,Role-Playing,Ubisoft,0.0,0.0,0.04,0.0
Enemy Front,X360,2014,Shooter,Namco Bandai Games,0.02,0.03,0.0,0.0
Enemy Territory: Quake Wars,PC,2007,Shooter,Activision,0.01,0.0,0.0,0.0
Enkaku Sousa: Sana e no 23 Hiai,PSP,2009,Adventure,Sony Computer Entertainment,0.0,0.0,0.02,0.0
Enslaved: Odyssey to the West,X360,2010,Action,Namco Bandai Games,0.3,0.19,0.0,0.05
Entaku no Seito: Students of Round,X360,2011,Role-Playing,ChunSoft,0.0,0.0,0.01,0.0
Epic Mickey 2: The Power of Two,X360,2012,Action,Disney Interactive Studios,0.32,0.17,0.0,0.04
Epic Mickey: Power of Illusion,3DS,2012,Action,Disney Interactive Studios,0.36,0.04,0.04,0.04
Escape From Monkey Island,PS2,2001,Adventure,LucasArts,0.05,0.04,0.0,0.01
Escape The Museum,Wii,2009,Adventure,Majesco Entertainment,0.11,0.01,0.0,0.01
Escape from Bug Island,Wii,2006,Action,Eidos Interactive,0.04,0.01,0.01,0.0
Eternal Darkness: Sanity's Requiem,GC,2002,Adventure,Nintendo,0.34,0.09,0.0,0.01
Eternal Poison,PS2,2008,Role-Playing,Banpresto,0.07,0.05,0.0,0.02
Eternal Sonata,PS3,2008,Role-Playing,Atari,0.19,0.13,0.07,0.06
Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.12,0.01
Etrian Odyssey,DS,2007,Role-Playing,Nintendo,0.2,0.03,0.09,0.02
Etrian Odyssey II: Heroes of Lagaard,DS,2008,Role-Playing,Atlus,0.1,0.0,0.16,0.01
Etrian Odyssey III: The Drowned City,DS,2010,Role-Playing,Atlus,0.13,0.0,0.19,0.01
Etrian Odyssey V,3DS,2016,Role-Playing,Atlus,0.0,0.0,0.12,0.0
